time,data
15.10.2,37.2
14.24.16,37.82
14.24.21,58.76
14.24.23,32.0
14.24.25,31.77
14.24.27,50.29
14.24.29,37.84
14.24.31,49.84
14.24.33,59.36
14.24.35,33.42
14.24.37,45.98
14.24.39,62.47
14.24.41,33.7
14.24.43,61.24
14.42.10,63.48
14.42.12,35.31
14.42.14,33.37
14.42.16,56.0
14.42.18,56.87
14.42.20,46.12
14.42.22,51.93
14.42.24,41.0
14.42.26,27.96
14.42.28,48.14
14.42.30,61.53
14.42.32,24.27
14.42.34,52.56
14.42.36,55.82
14.42.38,32.4
14.42.40,32.76
14.42.42,60.0
14.42.44,66.54
14.42.46,66.01
14.42.48,54.9
14.43.43,45.61
14.43.53,43.24
14.44.3,66.62
14.44.13,30.56
14.44.23,53.74
14.44.33,57.47
14.44.44,53.98
