time,data
14.24.19,34.89
14.24.21,35.4
14.24.23,29.19
14.24.25,34.01
14.24.27,55.08
14.24.29,55.46
14.24.31,47.37
14.24.33,53.75
14.24.35,38.76
14.24.37,40.65
14.24.39,59.02
14.24.41,25.69
14.24.43,24.07
14.42.10,59.23
14.42.12,61.62
14.42.14,63.05
14.42.16,36.44
14.42.18,60.73
14.42.20,28.96
14.42.22,42.15
14.42.24,27.1
14.42.26,39.13
14.42.28,40.59
14.42.30,64.52
14.42.32,52.66
14.42.34,49.82
14.42.36,44.36
14.42.38,58.03
14.42.40,48.5
14.42.42,41.2
14.42.44,42.78
14.42.46,37.21
14.42.48,61.76
14.43.43,63.93
14.43.53,27.66
14.44.3,35.64
14.44.13,24.12
14.44.23,64.73
14.44.33,64.08
14.44.44,41.01
