time,data
14.24.19,56.33
14.24.21,32.38
14.24.23,51.2
14.24.25,59.97
14.24.27,23.77
14.24.29,31.0
14.24.31,51.48
14.24.33,49.67
14.24.35,51.72
14.24.37,36.39
14.24.39,53.32
14.24.41,54.21
14.24.43,31.96
14.42.10,41.96
14.42.12,64.2
14.42.14,36.59
14.42.16,38.96
14.42.18,42.21
14.42.20,40.53
14.42.22,64.25
14.42.24,39.96
14.42.26,45.83
14.42.28,29.49
14.42.30,54.77
14.42.32,38.68
14.42.34,45.9
14.42.36,25.26
14.42.38,32.92
14.42.40,65.92
14.42.42,64.79
14.42.44,43.34
14.42.46,62.98
14.42.48,57.24
14.43.43,64.46
14.43.53,56.39
14.44.3,28.03
14.44.13,51.26
14.44.23,48.81
14.44.33,30.0
14.44.44,55.59
